Sales History Report Summary
item name,size,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,Sale,Pur,Adj,QoH,
$ SIGN $5 INSTANT,,0,0,0,0,0,0,0,0,0,4,30,15,49,0,0,-49,
$1 100 EXPLOSION,,0,0,0,0,0,0,0,0,54,5,37,14,110,0,0,-110,
$1 ACES HIGH,,0,0,0,0,0,0,0,159,31,0,0,0,190,0,0,-172,
$1 EMERALDS,,0,0,0,0,0,0,0,124,71,3,0,0,198,0,0,-198,
$1 JUMBO BUCKS,,0,0,0,0,0,0,0,0,0,0,8,17,25,0,0,-25,
$10 MILLIONAIRE,,0,0,0,0,0,0,0,0,61,55,16,14,146,0,0,-148,
$10 MONEY MULTIPLIER,,0,0,0,0,0,0,0,0,0,0,12,13,25,0,0,-25,
$10 PINBALL,,0,0,0,0,0,0,0,18,5,2,6,4,35,0,0,-35,
$10 WINTER WINNINGS,,0,0,0,0,0,0,22,47,10,0,0,0,79,0,0,-79,
$2 24 KARAT GOLD,,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,-17,
$2 BINGO NIGHT,,0,0,0,0,0,25,33,36,26,11,18,10,159,0,0,-188,
$2 BLACKJACK TRIPLER,,0,0,0,0,0,17,19,38,7,0,0,0,81,0,0,-99,
$2 DOUBLE IT,,0,0,0,0,0,20,28,77,31,32,0,0,188,0,0,-195,
$2 RUBIES,,0,0,0,0,0,0,0,52,39,8,0,0,99,0,0,-99,
$2 SNOW ME THE MONEY,,0,0,0,0,0,0,13,161,16,5,0,0,195,0,0,-193,
$20 20x,,0,0,0,0,0,0,0,21,18,21,17,21,98,0,0,-98,
$20 CASHWORD,,0,0,0,0,0,9,15,4,8,6,14,15,71,0,0,-71,
$20 RED HOT RICHES,,0,0,0,0,0,0,0,40,13,18,18,4,93,0,0,-94,
$3 CASHWORD 28,,0,0,0,0,0,64,61,120,107,85,76,60,573,0,0,-762,
$3 LUCKY STARS,,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,-12,
$3 PLAY 2,,0,0,0,0,0,0,0,0,10,9,2,2,23,0,0,-23,
$3 SKEE-BALL,,0,0,0,0,0,16,6,3,36,10,0,0,71,0,0,-99,
$3 WINTER DOUBLE WIN,,0,0,0,0,0,0,22,108,23,19,10,22,204,0,0,-203,
$30 30X,,0,0,0,0,0,0,0,7,12,0,0,0,19,0,0,-19,
$5 CASINO CASH,,0,0,0,0,0,25,36,56,29,29,21,11,207,0,0,-233,
$5 DIAMONDS,,0,0,0,0,0,0,0,99,44,32,52,47,274,0,0,-272,
$5 FANTASTIC 5s,,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,-13,
$5 SUPER CASHWORD 22,,0,0,0,0,0,0,0,0,0,0,23,16,39,0,0,-39,
001 PLASTIC BAG 1,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
10 CANE RUM 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
10,000 WIN FOR LIFE 2nd ED.,,0,0,0,0,0,11,18,4,46,19,27,16,141,0,0,-227,
1000 STORIES ZINFANDEL 750ML,750ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
10X CASH 14th ED.,,0,0,0,0,0,17,27,42,34,32,28,26,206,0,0,-276,
120 SANTA RITA CAB SAUV 750ML,750ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
13 CELSIUS PINOT GRIGIO 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,6,
13 CELSIUS SAUVIGNON BLANC 750 mL,750 mL,0,0,0,0,0,0,1,1,0,2,0,5,9,0,0,-12,
14 HANDS BRUT 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,10,
14 HANDS CABERNET 750 mL,750 mL,0,0,0,0,0,2,1,3,4,0,4,4,18,0,0,-19,
14 HANDS CHARD 750 mL,750 mL,0,0,0,0,0,0,0,1,0,5,1,0,7,0,0,8,
14 HANDS HOT TO TROT 750 mL,750 mL,0,0,0,0,0,3,4,3,3,0,4,0,17,0,0,-16,
14 Hands Hot To Trot Ehite Blend 750ml,,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,-3,
14 HANDS KENTUCKY DERBY 2015 750ML,750ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
14 HANDS MERLOT 750 mL,750 mL,0,0,0,0,0,1,2,3,3,2,7,1,19,0,0,-3,
14 HANDS MOSCATO 750 ML,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-2,
14 HANDS PINOT GRIGIO 750 mL,750 mL,0,0,0,0,0,2,11,5,2,2,3,3,28,0,0,-20,
14 HANDS ROSE 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,20,
14 Hands Run Wild Red Blend 750ml,,0,0,0,0,0,1,2,5,2,1,3,1,15,0,0,-16,
14 HANDS STAMPEDE RED BLEND 750ML,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-2,
1792 750 mL SINGLE BARREL BOURBON WHISKEY,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-1,
1800 COCONUT RUM 375 ML,375 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,3,
1800 COCONUT TEQ 1.75l,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-4,
1800 Cristalino Anejo 750ml,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
1800 MARGARITA 1.75L BLOOD ORANGE,1.75L,0,0,0,0,0,0,1,0,1,1,0,0,3,0,0,-5,
1800 MARGARITA 1.75L JALAPENO LIME,1.75L,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-3,
1800 MARGARITA 1.75L MANGO,1.75L,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-11,
1800 MARGARITA 1.75L PEACH,1.75L,0,0,0,0,0,1,1,0,0,0,0,2,4,0,0,-7,
1800 MARGARITA 1.75L PINEAPPLE,1.75L,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-11,
1800 MARGARITA 1.75L RASPBERRY,1.75L,0,0,0,0,0,0,1,0,0,1,3,2,7,0,0,-11,
1800 MARGIRITA 1.75L ORIGILAL,1.75L,0,0,0,0,0,1,0,1,1,0,0,1,4,0,0,-13,
1800 MARGIRITA 1.75L WATERMELON,1.75L,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-2,
1800 REPOSADO 50ML,50ML,0,0,0,0,0,0,1,0,0,2,0,3,6,0,0,-6,
1800 REPOSADO REPOSADO 50ML,50ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
1800 REPOSADO TEQUILLA 1.75L,1.75L,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,-6,
1800 SILVER SILVER 750ML,750ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
1800 SILVER TEQUILLA 50ML,50ML,0,0,0,0,0,0,1,3,0,1,5,1,11,0,0,0,
1800 TEQUILA 1.75L SILVER,1.75 L,0,0,0,0,0,2,4,5,1,4,5,4,25,0,0,-42,
1800 TEQUILA 50 ml COCONUT,50 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
1800 TEQUILA COCONUT 200ML,200ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2,
1800 TEQUILA REPOSADO 200 ML,225,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,
1800 TEQUILA SILVER 200 ML,225,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,-4,
1800 ULTIMATE MARGARITA 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
1800 ULTIMATE MARGARITA MIX 750 mL,750 mL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
19 CRIMES 750mL CALI ROSE,750 mL,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-1,
19 CRIMES BANISHED RED 750ML,750ML,0,0,0,0,0,1,1,1,0,0,1,0,4,0,0,-5,
19 CRIMES CABERNET SAUVIGNON 750 mL,750 mL,0,0,0,0,0,11,5,8,4,3,7,2,40,0,0,-24,
19 Crimes Cali Red Snoop 750ml,,0,0,0,0,0,5,3,9,4,9,5,4,39,0,0,-50,
19 CRIMES CHARD 750ML,750ML,0,0,0,0,0,1,3,1,1,0,0,0,6,0,0,-11,
19 CRIMES PINOT NOIR 750 mL,750 mL,0,0,0,0,0,1,2,2,1,1,1,2,10,0,0,8,
19 CRIMES RED WINE 750 mL,750 mL,0,0,0,0,0,1,1,0,3,1,0,1,7,0,0,6,
19 Crimes Revolution Rose 750ml,,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,-7,
19 CRIMES SAUV BLANC 750ML,750ML,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-2,
19 CRIMES SHIRAZ 750ML,750ML,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-2,
19 CRIMES THE UPRISING 750ML,750ML,0,0,0,0,0,6,6,12,4,2,8,13,51,0,0,-72,
19 CRIMES WARDEN RED 750ML,,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,-2,
1911 BLACK CHERRY HARD CIDER 4pk16oz,16 OZ,0,0,0,0,0,0,5,3,4,1,5,5,23,0,0,-24,
1911 CRANBERRY HARD CIDER 4pk16oz,16 OZ,0,0,0,0,0,0,0,8,8,2,0,0,18,0,0,-19,
1911 Honeycrisp Cider 4pk 16oz Cans,,0,0,0,0,0,0,0,0,0,8,2,3,13,0,0,-13,
1911 ORIGINAL HARD CIDER 4pk16oz,16 OZ,0,0,0,0,0,0,0,3,6,3,0,2,14,0,0,-16,
1911 RASPBERRY HARD CIDER 4pk16oz,16 OZ,0,0,0,0,0,0,2,7,1,5,2,1,18,0,0,-19,
1911 ROSE HARD CIDER 4pk16oz,16 OZ,0,0,0,0,0,0,2,2,2,1,2,0,9,0,0,-9,
1911 TROPICAL HARD CIDER 4pk16oz,16 OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-1,
1911 WATERMELON MINT HARD CIDER 4pk16oz,16 OZ,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,5,
1920 CRF 1L,1L,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
1920 CRF BRANDY 1 L,164,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
