Store Name: FRIENDLY FOOD MART
Store Address: 1725 BUTLER STREET
Store Phone: 610-252-9370

Item Type,SKU,Item Name,QOH,Selling Price,Unit Per Case,Department,Category,Size
Standard,1,Bottle Deposit,0,0.00,1,General,General,
Standard,2,Taxable Item,3012,0.00,1,General,General,
Standard,3,Non Taxable Item,-5320,0.00,1,General,General,
Standard,4,Conv. Charge (%),0,0.00,1,General,General,
Standard,5,Conv. Charge ($),0,0.00,1,General,General,
Standard,6,Lottery Redeem,0,0.00,1,General,General,
Standard,8,Instant Lottery,0,0.00,1,General,General,
Standard,9,Credit Payment,0,0.00,1,General,General,
Standard,13,ACCOUNTING,0,0.00,1,General,General,
Standard,14,BACKUP,0,0.00,1,General,General,
Standard,15,REPORTS,0,0.00,1,General,General,
Standard,16,Edit Permission Group,0,0.00,1,General,General,
Standard,17,Store Setting,0,0.00,1,General,General,
Standard,18,Coupon,-293,0.00,1,General,General,
Standard,20,Lottery Sales,0,0.00,1,General,General,
Standard,21,Instant Sales,0,0.00,1,General,General,
Standard,22,Lottery Redeem,0,0.00,1,General,General,
Standard,23,Instant Redeem,0,0.00,1,General,General,
Standard,10,Bottle Deposit Redeem,0,0.00,1,General,General,
Standard,043000029459,MAXWELL HOUSE COFFEE,0,0.00,1,General Marchandise,General Marchandise,EACH
Standard,073854000885,10 CARDS,0,0.00,1,General Marchandise,General Marchandise,EACH
Standard,019800001131,DRANO CRYSTAL 1,0,0.00,1,General Marchandise,General Marchandise,EACH
Standard,070655960301,PINA COLADA MIX,0,0.00,1,General Marchandise,General Marchandise,EACH
Standard,070655912300,SWEET AND SOUR MIX,0,0.00,1,General Marchandise,General Marchandise,EACH
Standard,043100633501,INDEX CARD,0,0.00,1,General Marchandise,General Marchandise,EACH
Standard,037000715863,SECRET DEOD,0,0.00,1,General Marchandise,General Marchandise,EACH
Standard,072874409203,GLOVE LEATHER PALM,0,0.00,1,General Marchandise,General Marchandise,EACH
Standard,072874401108,GLOVE PVC DOT CTTON,0,0.00,1,General Marchandise,General Marchandise,EACH
Standard,046500003387,PLEDGE,0,0.00,1,General Marchandise,General Marchandise,EACH
Standard,051000010513,CAMPBELLS CHK/RICE 1,0,0.00,1,General Marchandise,General Marchandise,EACH
Standard,079068000154,GS PETROLEUM JELLY,0,0.00,1,General Marchandise,General Marchandise,EACH
Standard,023558451001,LIPEX,0,0.00,1,General Marchandise,General Marchandise,EACH
Standard,071709178888,PERMANENT MARKER BLA,0,0.00,1,General Marchandise,General Marchandise,EACH
Standard,077071035491,FOAM COOLER 30QT,0,0.00,1,General Marchandise,General Marchandise,EACH
Standard,024000021421,DEL MONTE SLICED PEA,0,0.00,1,General Marchandise,General Marchandise,EACH
Standard,071846312411,PORK WITH BBQ SAUSE,0,0.00,1,General Marchandise,General Marchandise,EACH
Standard,070655947302,STRAWBERRY DARQURIE,0,0.00,1,General Marchandise,General Marchandise,EACH
Standard,017082007414,JACK LINKS BEEF JERK,0,0.00,1,General Marchandise,General Marchandise,EACH
Standard,044000008390,MINI CHIPS AHOY,0,0.00,1,General Marchandise,General Marchandise,EACH
Standard,075200007005,BOILED PEANUTS,0,0.00,1,General Marchandise,General Marchandise,EACH
Standard,034893000014,APPLE UGLY,0,0.00,1,General Marchandise,General Marchandise,EACH
Standard,041259213698,BAMA GRAPE JELLY,0,0.00,1,General Marchandise,General Marchandise,EACH
Standard,050700316314,FORKS  PLASTIC,0,0.00,1,General Marchandise,General Marchandise,EACH
Standard,071159001354,CORN NUTS NACHO CHEE,0,0.00,1,General Marchandise,General Marchandise,EACH
Standard,016000295797,NACHUREVALLY APPLE C,0,0.00,1,General Marchandise,General Marchandise,EACH
Standard,038000299377,POPTARTS APPLESTUDLE,0,0.00,1,General Marchandise,General Marchandise,EACH
Standard,050700303444,PLASTIC WRAP,0,0.00,1,General Marchandise,General Marchandise,EACH
Standard,080692950159,LEATHER GAUCHO,0,0.00,1,General Marchandise,General Marchandise,EACH
Standard,080692950050,JERSEY GRIPPERS GLOV,0,0.00,1,General Marchandise,General Marchandise,EACH
