Sales Analytics
From : 09-15-2020 To : 02-28-2021

Dep./Cat./Sub Cat. Name , Total Amount,	Qty Sold,Ext Cost Price,Ext Unit Price,Gross Profit(%)
E-Cigarettes
JUUL
JUUL BASIC SLATE BLACK KIT, 117.87, 13.00, 0.00, 117.87, 100.00
JUUL BASIC SLATE SILVER KIT, 49.97, 3.00, 0.00, 49.97, 100.00
JUUL CLASSIC TOBACCO 3% 4 PODS, 37.98, 2.00, 10.25, 37.98, 73.01
JUUL MENTHOL 3% 4 PODS, 246.87, 13.00, 189.15, 246.87, 23.38
JUUL MENTHOL 5% 2 PODS, 181.86, 14.00, 0.00, 181.86, 100.00
JUUL MENTHOL 5% 4 PODS, 2093.90, 110.00, 0.00, 2093.90, 100.00
JUUL VIRGINIA TOBACCO 3% 4 PODS, 75.96, 4.00, 0.00, 75.96, 100.00
JUUL VIRGINIA TOBACCO 5% 2 PODS, 64.95, 5.00, 0.00, 64.95, 100.00
JUUL VIRGINIA TOBACCO 5% 4 PODS, 933.51, 49.00, 0.00, 933.51, 100.00
Sub Total : ,3802.87,213, 199.4,146.76026877884,94.76
Total : ,3802.87,213, 199.4, 146.76026877884, 94.76
