Store Name: CONGERS WINE & LIQUOR
Store Address: 47 LAKE ROAD
Store Phone: 845-268-6100
Date: 01-1-2021  To  05-17-2021

	Item Name,SKU,QOH,Cost,Price,Total cost,Total Price,GPP
CONCRETE CABERNET SAUVIGNON,85720900503,1,13.33,19.99,13.33,19.99,33.30
DISRUPTION CABERNET SAUVIGNON,85703400605,3,10.13,18.99,30.38,56.97,46.68
MIC DROP STRT. BOURBON WHISKY,85698000542,16,41.57,99.99,665.12,1,599.84,58.43
BLUE CHAIR BAY Spiced Rum,85688100463,10,0.68,1.79,6.80,17.90,62.01
BLUE CHAIR BAY Pineapple Rum Cream,85688100456,7,15.59,26.99,109.13,188.93,42.24
BLUE CHAIR BAY KEY LIME RUM CREAM,85688100440,12,15.59,26.99,187.08,323.88,42.24
BLUE CHAIR BAY COCONUT SPICED RUM CREAM,85688100431,118,0.68,1.79,80.62,211.22,61.83
BLUE CHAIR BAY BANANA RUM CREAM,85688100430,8,0.68,1.79,5.44,14.32,62.01
BLUE CHAIR BAY BANANA RUM CREAM,85688100427,3,15.49,26.99,46.47,80.97,42.61
BLUE CHAIR BAY COCONUT SPICED RUM,85688100402,0,15.49,26.99,0.00,0.00,0.00
RAINSTORM Silver Linings Rose,85677800302,0,8.67,14.99,0.00,0.00,0.00
RAINSTORM OREGON PINOT NOIR,85677800300,-1,10.32,16.99,-10.32,-16.99,39.24
CASAMIGOS Reposado,85672400621,0,44.28,57.99,0.00,0.00,0.00
WILD THING ZINFANDEL,85667100201,0,15.33,21.99,0.00,0.00,0.00
DAISY PINOT GRIGIO WASHINGTON STATE,85662200139,0,8.00,13.99,0.00,0.00,0.00
RABBIT HOLE BRBN Sherry Cask STRT,85658100614,1,68.93,99.99,68.93,99.99,31.06
UNCLE VAL-S BOTANICAL GIN,85644200531,0,22.00,31.99,0.00,0.00,0.00
WIDOW JANE BOURBON,85628200531,15,52.70,79.99,790.50,1,199.85,34.12
tromba Blanco Tequilla 375ML,9343863000635,1,8.00,11.99,8.00,11.99,33.28
MINER VIOGNIER,85609500032,3,12.95,14.99,38.85,44.97,13.61
DEEP EDDY Lemon VODKA,85606500241,0,1.00,19.99,0.00,0.00,0.00
DEEP EDDY RUBY RED VODKA,85606500209,12,16.10,21.99,193.20,263.88,26.78
DEEP EDDY VODKA,85606500205,10,23.89,29.99,238.87,299.90,20.35
DEEP EDDY VODKA,85606500204,0,16.10,21.99,0.00,0.00,0.00
DEEP EDDY VODKA,85606500203,-1,16.10,24.99,-16.10,-24.99,35.57
UNDERWOOD CELLARS PINOT NOIR,85603600100,0,8.67,13.99,0.00,0.00,0.00
SLOVENIA VODKA,85597500401,0,24.61,32.99,0.00,0.00,0.00
SQUARE ONE BERGAMOT,85588600140,0,23.00,29.99,0.00,0.00,0.00
SQUARE ONE CUCUMBER,85588600110,0,23.00,29.99,0.00,0.00,0.00
SQUARE ONE ORGANIC VODKA,85588600100,0,23.00,29.99,0.00,0.00,0.00
MEIOMI PINOT NOIR,85562200031,0,15.33,25.99,0.00,0.00,0.00
Westland American Single Malt Sherry Wood,85541000309,2,63.99,99.99,127.98,199.98,36.00
Westland American Single Malt Peated,85541000308,2,63.99,99.99,127.98,199.98,36.00
Westland American Single Malt Amercan Oak,85541000302,2,63.99,99.99,127.98,199.98,36.00
LENORE SYRAH 2009 COLUMBIA VALLEY,85483700202,0,10.00,12.99,0.00,0.00,0.00
Apple Pie Flavor Moonshine,85457200512,21,14.85,24.99,311.85,524.79,40.58
Ballotin Chocolate Whiskey,85444300600,5,20.00,34.99,100.00,174.95,42.84
FRANKLY ORGANIC POMEGRANATE AND LEMON VODKA,85443900834,0,18.45,29.99,0.00,0.00,0.00
FRANKLY ORGANIC STRAWBERRY AND LEMON VODKA,85443900818,1,18.45,29.99,18.45,29.99,38.48
FRANKLY ORGANIC VODKA,85443900802,0,18.45,29.99,0.00,0.00,0.00
HIGH WEST WHISKEY AMERICAN PRAIRIE BOURBON,85439600522,5,23.92,49.99,119.58,249.95,52.16
HIGH WEST Midwinter Nights Dram Act 8,85439600519,3,66.67,149.99,200.00,449.97,55.55
HIGH WEST WHISKEY CAMPFIRE,85439600504,10,53.08,69.99,530.80,699.90,24.16
HIGH WEST WHISKEY RENDEZVOUS RYE,85439600502,6,52.20,69.99,313.20,419.94,25.42
HIGH WEST WHISKEY DOUBLE RYE,85439600500,7,34.96,59.99,244.69,419.93,41.73
POCAS WHITE PORTO,85435501101,3,7.33,14.99,21.99,44.97,51.10
POCAS 30 YEAR OLD TAWY PORTO,85435501015,1,24.66,54.99,24.66,54.99,55.16
POCAS 20 YEAR OLD TAWY PORTO,85435501006,4,24.66,44.99,98.64,179.96,45.19
POCAS 10 YEAR OLD TAWY PORTO,85435501005,2,24.66,34.99,49.32,69.98,29.52
POCAS TAWNY PORTO,85435500152,12,8.67,14.99,104.00,179.88,42.18
SECRET VINES French Pinot Noir,85429500617,0,12.00,19.99,0.00,0.00,0.00
SECRET VINES TEMPRANILLO ROBLE,85429500607,2,12.00,19.99,24.00,39.98,39.97
XIO MOSCATO,85393600722,0,6.67,10.99,0.00,0.00,0.00
BANSHEE CABERNET SAUVIGNON PASO ROBLES,85386800634,1,13.00,24.99,13.00,24.99,47.98
BANSHEE CABERNET SAUVIGNON,85386800633,0,28.33,42.99,0.00,0.00,0.00
RICKSHAW PINOT NOIR,85386800605,0,10.00,15.99,0.00,0.00,0.00
BRECKENRIDGE BOURBON,85382600500,-1,36.50,49.99,-36.50,-49.99,26.99
NEYERS CHARDONNAY,85376300159,10,18.00,29.99,180.00,299.90,39.98
9A Single Malt Whiskey,85359100233,2,41.83,59.99,83.66,119.98,30.27
914 Bourbon Whiskey,85359100223,1,33.30,49.99,33.30,49.99,33.39
No. 4 RYE WHISKEY,85359100221,2,33.34,49.99,66.68,99.98,33.31
